Day,Month,Year,Hour,Minute,AM/PM,FOCAL REFERENCE,OBSERVER 1,OBSERVER 2,WEATHER,TEMP,Focal ID,Sex,Age,ESTRUS,FOCAL PERIOD,amount prox scans,Focal Minute,Association,Proximity Code,number ,G.P.S. Location,,Notes,Duplicate?
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,1,0,SK,2,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,0,AU,2,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,0,BO,2,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,0,MT,2,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,0,MG,3,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,0,BL,3,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,0,AL,3,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,0,10,OS,,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,1,20,NE,2,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,20,KO,2,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,20,ZI,2,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,20,AM,2,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,20,RE,2,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,20,MY,3,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,20,AU,3,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,20,PO,3,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,20,TO,3,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,20,SK,3,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,20,MA,3,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,20,BM,3,,,,,
18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,,20,MT,3,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,1,0,KO,2,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,0,BL,2,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,0,MY,2,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,0,PO,3,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,0,SK,3,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,0,AM,3,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,0,AU,3,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,0,AL,3,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,0,MG,3,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,0,TO,4,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,1,10,BM,2,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,10,MA,2,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,10,KO,2,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,10,PO,3,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,10,RE,4,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,10,AM,4,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,1,20,SK,3,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,20,BM,3,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,20,TO,3,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,20,JA,3,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,20,PO,4,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,20,RE,4,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,20,MG,4,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,20,TI,4,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,20,MY,4,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,,20,BB,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,1,0,NE,2,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,0,SK,2,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,0,BL,2,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,0,BM,3,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,0,MY,3,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,0,ZI,3,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,0,RE,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,0,AM,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,1,10,BM,2,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,10,NE,2,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,10,AU,3,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,10,ZI,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,10,PO,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,10,AL,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,10,MG,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,10,RE,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,10,BL,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,10,TO,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,10,ED,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,10,MA,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,1,20,NE,2,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,20,TO,2,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,20,BM,2,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,20,AL,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,20,BO,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,20,BL,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,20,MA,4,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,,20,KO,4,,,,,
18,3,2016,10,22,AM,370504,AMANDA,PILIRANI,SU,W,BL,F,A,,2,1,0,AM,1,,,,,
