A,B,proximity
MG,PO,93
MG,AL,99
MG,KO,107
MG,ZI,4
MG,BL,104
MG,NE,90
MG,AU,84
MG,BO,75
MG,TO,81
MG,MA,62
MG,JA,49
MG,AM,92
MG,BM,107
MG,TI,72
MG,ED,70
MG,SK,34
MG,RE,47
MG,CI,8
MG,HO,12
MG,PA,44
PO,AL,199
PO,KO,182
PO,ZI,4
PO,BL,202
PO,NE,113
PO,AU,197
PO,BO,141
PO,TO,93
PO,MA,129
PO,JA,34
PO,AM,207
PO,BM,140
PO,TI,83
PO,ED,188
PO,SK,76
PO,RE,83
PO,CI,57
PO,HO,75
PO,PA,37
AL,KO,165
AL,ZI,2
AL,BL,173
AL,NE,65
AL,AU,170
AL,BO,107
AL,TO,56
AL,MA,134
AL,JA,29
AL,AM,175
AL,BM,101
AL,TI,62
AL,ED,140
AL,SK,75
AL,RE,60
AL,CI,61
AL,HO,88
AL,PA,39
KO,ZI,2
KO,BL,168
KO,NE,74
KO,AU,179
KO,BO,126
KO,TO,80
KO,MA,122
KO,JA,38
KO,AM,159
KO,BM,143
KO,TI,65
KO,ED,147
KO,SK,75
KO,RE,63
KO,CI,72
KO,HO,85
KO,PA,39
ZI,BL,1
ZI,NE,1
ZI,AU,2
ZI,BO,0
ZI,TO,2
ZI,MA,1
ZI,JA,3
ZI,AM,3
ZI,BM,2
ZI,TI,2
ZI,ED,1
ZI,SK,2
ZI,RE,2
ZI,CI,0
ZI,HO,0
ZI,PA,0
BL,NE,69
BL,AU,165
BL,BO,130
BL,TO,71
BL,MA,137
BL,JA,31
BL,AM,186
BL,BM,118
BL,TI,67
BL,ED,176
BL,SK,74
BL,RE,72
BL,CI,71
BL,HO,82
BL,PA,43
NE,AU,73
NE,BO,72
NE,TO,70
NE,MA,51
NE,JA,34
NE,AM,92
NE,BM,90
NE,TI,49
NE,ED,63
NE,SK,28
NE,RE,43
NE,CI,9
NE,HO,4
NE,PA,23
AU,BO,114
AU,TO,73
AU,MA,146
AU,JA,25
AU,AM,181
AU,BM,119
AU,TI,55
AU,ED,163
AU,SK,76
AU,RE,66
AU,CI,61
AU,HO,78
AU,PA,49
BO,TO,74
BO,MA,96
BO,JA,32
BO,AM,120
BO,BM,117
BO,TI,65
BO,ED,105
BO,SK,42
BO,RE,56
BO,CI,18
BO,HO,20
BO,PA,26
TO,MA,52
TO,JA,36
TO,AM,74
TO,BM,75
TO,TI,59
TO,ED,63
TO,SK,25
TO,RE,36
TO,CI,16
TO,HO,16
TO,PA,26
MA,JA,17
MA,AM,139
MA,BM,107
MA,TI,61
MA,ED,131
MA,SK,60
MA,RE,49
MA,CI,59
MA,HO,59
MA,PA,40
JA,AM,27
JA,BM,34
JA,TI,29
JA,ED,23
JA,SK,10
JA,RE,10
JA,CI,0
JA,HO,0
JA,PA,5
AM,BM,113
AM,TI,72
AM,ED,168
AM,SK,72
AM,RE,74
AM,CI,74
AM,HO,81
AM,PA,52
BM,TI,71
BM,ED,104
BM,SK,58
BM,RE,75
BM,CI,28
BM,HO,24
BM,PA,50
TI,ED,51
TI,SK,25
TI,RE,31
TI,CI,11
TI,HO,13
TI,PA,28
ED,SK,73
ED,RE,79
ED,CI,49
ED,HO,69
ED,PA,52
SK,RE,2
SK,CI,26
SK,HO,27
SK,PA,0
RE,CI,0
RE,HO,0
RE,PA,2
CI,HO,48
CI,PA,0
HO,PA,0
