Day,Month,Year,Hour,Minute,AM/PM,FOCAL REFERENCE,OBSERVER 1,OBSERVER 2,WEATHER,TEMP,Focal ID,Sex,Age,FOCAL PERIOD,amount,Focal Minute,Association,Proximity Code,number ,G.P.S. Location
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,0,BL,3,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,0,BO,3,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,0,NE,3,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,0,BA,4,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,0,BT,4,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,0,ZI,4,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,0,TI,4,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,0,AL,4,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,10,BM,3,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,10,AM,3,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,10,ED,3,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,10,BL,3,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,10,AL,4,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,10,BA,4,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,10,TI,4,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,20,BL,2,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,20,AL,2,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,20,BM,3,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,20,ED,3,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,20,KO,4,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,20,BT,4,,
1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,1,1,20,UK,4,,
1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,1,0,NE,2,,
1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,1,0,PO,2,,
1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,1,0,ED,3,,
1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,1,0,JA,3,,
1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,1,0,BM,4,,
1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,1,0,ZI,4,,
1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,1,0,KO,4,,
1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,1,0,BA,4,,
1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,1,20,PO,2,,
1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,1,20,BL,2,,
1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,1,20,BT,3,,
1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,1,1,20,ZI,3,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,0,AU,2,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,0,MA,2,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,0,AL,2,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,0,NE,2,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,0,BO,2,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,0,TI,2,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,0,BA,2,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,0,PO,3,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,0,JA,3,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,0,BL,4,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,0,MG,4,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,0,ED,4,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,10,ED,2,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,10,NE,2,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,10,MA,2,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,10,TO,3,,
1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,1,1,10,PO,3,,
