A,B,proximity
MG,PO,172
MG,AL,178
MG,KO,367
MG,ZI,358
MG,BL,402
MG,NE,392
MG,AU,366
MG,BO,360
MG,BA,364
MG,TO,374
MG,MA,328
MG,JA,348
MG,AM,392
MG,BM,415
MG,TI,350
MG,ED,343
PO,AL,0
PO,KO,0
PO,ZI,141
PO,BL,286
PO,NE,196
PO,AU,216
PO,BO,224
PO,BA,168
PO,TO,241
PO,MA,165
PO,JA,138
PO,AM,264
PO,BM,161
PO,TI,207
PO,ED,233
AL,KO,0
AL,ZI,163
AL,BL,247
AL,NE,199
AL,AU,192
AL,BO,192
AL,BA,161
AL,TO,194
AL,MA,163
AL,JA,139
AL,AM,224
AL,BM,157
AL,TI,186
AL,ED,199
KO,ZI,165
KO,BL,247
KO,NE,185
KO,AU,212
KO,BO,221
KO,BA,190
KO,TO,228
KO,MA,173
KO,JA,142
KO,AM,225
KO,BM,189
KO,TI,195
KO,ED,191
ZI,BL,342
ZI,NE,348
ZI,AU,334
ZI,BO,324
ZI,BA,323
ZI,TO,352
ZI,MA,280
ZI,JA,285
ZI,AM,377
ZI,BM,308
ZI,TI,350
ZI,ED,298
BL,NE,437
BL,AU,472
BL,BO,456
BL,BA,398
BL,TO,488
BL,MA,402
BL,JA,369
BL,AM,484
BL,BM,429
BL,TI,401
BL,ED,506
NE,AU,400
NE,BO,411
NE,BA,354
NE,TO,398
NE,MA,336
NE,JA,338
NE,AM,416
NE,BM,473
NE,TI,373
NE,ED,400
AU,BO,414
AU,BA,384
AU,TO,431
AU,MA,342
AU,JA,343
AU,AM,463
AU,BM,357
AU,TI,386
AU,ED,430
BO,BA,364
BO,TO,416
BO,MA,383
BO,JA,323
BO,AM,431
BO,BM,373
BO,TI,387
BO,ED,420
BA,TO,347
BA,MA,298
BA,JA,310
BA,AM,383
BA,BM,339
BA,TI,373
BA,ED,368
TO,MA,377
TO,JA,351
TO,AM,462
TO,BM,369
TO,TI,375
TO,ED,436
MA,JA,298
MA,AM,353
MA,BM,321
MA,TI,344
MA,ED,395
JA,AM,361
JA,BM,318
JA,TI,311
JA,ED,373
AM,BM,357
AM,TI,393
AM,ED,492
BM,TI,311
BM,ED,395
TI,ED,382
